,Q1_1,Q1_2,Q1_4,Q3_1,Q3_2,Q3_3,Q9,Q2,Q8_1,Q8_2,Q8_99,Q6ax1_1,Q6ax3_2,Q7_1,Q7_2,Q7_3,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_8,Q14_99,Q15_2,Q15_3,Q15_5,Q15_7,Q15_8,Q15_10,Q15_99,Q10_2
0,1,0,0,1,1,0,Somewhat familiar,"Less than 10,000",1,0,0,3.0,0.0,Somewhat agree,Somewhat agree,Somewhat agree,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1,1,1,0,0,1,0,Very familiar,"Less than 10,000",1,1,0,5.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,0,0,1,1,0,Not at all familiar,"20,001-50,000",0,0,1,2.0,0.0,Somewhat agree,Somewhat agree,Somewhat agree,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,0,Not at all familiar,"Less than 10,000",0,0,1,0.0,0.0,Somewhat disagree,Somewhat disagree,Somewhat agree,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
4,1,1,1,1,1,0,Very familiar,"20,001-50,000",1,1,0,5.0,0.0,Strongly agree,Strongly agree,Somewhat agree,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
5,1,1,0,1,1,0,Very familiar,"20,001-50,000",1,0,0,5.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
6,1,0,0,0,1,0,Not at all familiar,"10,000-20,000",0,0,1,5.0,0.0,Somewhat agree,Somewhat agree,Somewhat agree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7,1,0,0,0,1,0,Somewhat familiar,"10,000-20,000",0,0,1,3.0,0.0,Strongly agree,Somewhat agree,Somewhat agree,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
8,1,0,0,1,1,0,Not at all familiar,"Less than 10,000",1,0,0,3.0,0.0,Strongly agree,Somewhat agree,Neither agree nor disagree,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
9,1,1,0,0,0,1,Very familiar,"20,001-50,000",0,0,1,3.0,0.0,Neither agree nor disagree,Somewhat agree,Somewhat agree,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
10,1,1,0,1,1,0,Somewhat familiar,"10,000-20,000",1,0,0,2.0,0.0,Strongly agree,Strongly agree,Somewhat agree,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
11,0,1,0,0,1,0,Very familiar,"10,000-20,000",1,1,0,0.0,0.0,Somewhat agree,Somewhat agree,Somewhat agree,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
12,0,1,0,0,1,1,Somewhat familiar,"10,000-20,000",0,0,1,0.0,0.0,Strongly disagree,Strongly agree,Somewhat agree,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0
13,1,0,0,1,0,0,Not at all familiar,"10,000-20,000",1,0,0,4.0,0.0,Neither agree nor disagree,Strongly agree,Somewhat disagree,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
14,1,0,0,0,1,0,Not at all familiar,"Less than 10,000",1,0,0,2.0,0.0,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,1,0,0,1,1,0,Not at all familiar,"20,001-50,000",1,0,0,3.0,0.0,Strongly agree,Strongly agree,Strongly agree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,0,0,1,0,0,Somewhat familiar,"Less than 10,000",0,0,1,5.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
17,1,1,0,1,1,0,Very familiar,"20,001-50,000",1,1,0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,1,0,0,1,0,Very familiar,"20,001-50,000",0,0,1,4.0,0.0,Strongly agree,Somewhat agree,Somewhat agree,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
19,1,1,0,0,1,0,Somewhat familiar,"10,000-20,000",1,1,0,3.0,0.0,Somewhat agree,Strongly agree,Somewhat agree,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
20,0,1,0,0,0,1,Very familiar,"10,000-20,000",0,0,1,0.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
21,1,0,0,1,0,0,Not at all familiar,"10,000-20,000",0,0,1,5.0,0.0,Strongly disagree,Strongly agree,Strongly disagree,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
22,1,0,0,0,0,0,Very familiar,"20,001-50,000",1,0,0,5.0,0.0,Strongly agree,Strongly agree,Somewhat agree,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
23,1,1,0,0,1,0,Somewhat familiar,"10,000-20,000",1,0,0,4.0,0.0,Somewhat agree,Somewhat agree,Neither agree nor disagree,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0
24,0,1,0,1,1,0,Very familiar,"10,000-20,000",1,1,0,0.0,0.0,Strongly agree,Strongly agree,Neither agree nor disagree,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0
25,0,1,0,0,0,1,Somewhat familiar,"Less than 10,000",0,0,1,0.0,0.0,Strongly agree,Neither agree nor disagree,Somewhat agree,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
26,0,1,0,0,1,0,Somewhat familiar,"10,000-20,000",1,0,0,0.0,0.0,Strongly agree,Strongly agree,Somewhat agree,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
27,1,0,0,0,1,0,Not at all familiar,"Less than 10,000",1,0,0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
