responseid,interview_start,interview_end,gender,colour_plus,region,list,Q1_1,Q1_2,Q1_3,Q1_4,Q1_99,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q4,Q4_98_other,Q4b_1,Q4b_2,Q4b_3,Q4b_4,Q4b_98,Q4b_98_recoded,Q4b_98_other,Q4b_5,Q4b_6,Q4b_7,Q4b_8,Q4b_9,Q4b_10,Q4b_99,Q5_1,Q5_2,Q5_3,Q5_4,Q5_99,Q6ax1_1,Q6ax1_2,Q6ax1_3,Q6ax2_1,Q6ax2_2,Q6ax2_3,Q6ax3_1,Q6ax3_2,Q6ax3_3,Q6ax4_1,Q6ax4_2,Q6ax4_3,Q6bx1_1,Q6bx1_2,Q6bx1_3,Q6bx2_1,Q6bx2_2,Q6bx2_3,Q6bx3_1,Q6bx3_2,Q6bx3_3,Q6bx4_1,Q6bx4_2,Q6bx4_3,Q7_1,Q7_2,Q7_3,Q8_1,Q8_2,Q8_99,Q9,Q10_1,Q10_2,oQ11,Q13,Q13_98_other,Q13_1,Q13_2,Q13_3,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_98,Q14_98_other,Q14_99,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_98,Q15_98_other,Q15_99,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q18a_1,Q18a_2,Q18a_3,Q18a_4,Q18a_5,Q18a_6,Q18a_7,Q18a_8,Q18a_9,Q18a_99,Q17_1,Q17_2,Q17_3,Q18,Q19,Q20,Q21,Q21_98_other,Q22,Q22_98_other,Q23,AgeBand,Q24
4,27/11/2024,27/11/2024,Male,LILAC,METROPOLITAN,Main,1,0,0,0,0,"Less than 10,000",1,1,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,0,3,5,5,,,,,,,,,,0 - Weekend days,2,2,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,1,0,0,Somewhat familiar,Somewhat agree,Neither agree nor disagree,,Don't know,,0,0,0,0,1,0,1,0,1,0,0,0,,0,1,0,0,0,1,1,0,0,0,0,0,,0,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Neither interested nor uninterested,Neither interested nor uninterested,1,1,1,1,1,1,1,0,1,0,2,3,1,Discharge to my home AND discharge to the grid most nights for the maximum financial benefit,5,2,Freestanding house,,Own outright,,0,Prefer not to say,Prefer not to say
5,27/11/2024,27/11/2024,Male,LILAC,RURAL,EV,1,1,0,0,0,"Less than 10,000",0,1,0,0,0,At home,,0,0,0,0,1,0,public fast charger,1,0,0,0,0,0,0,0,1,0,0,0,5,5,5,5,5,5,,,,,,,2,2,2,2,2,2,,,,,,,Strongly agree,Strongly agree,Somewhat agree,1,1,0,Very familiar,Strongly agree,Strongly agree,,Next 1-2 years,,0,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,1,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Fairly interested,Fairly interested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,0,0,0,0,0,0,0,0,0,1,2,1,3,"Discharge to my home only, to reduce my energy bills",8,2,Freestanding house,,Own outright,,1,Prefer not to say,Prefer not to say
6,27/11/2024,27/11/2024,Not Stated,KHAKI,INTERSTATE,Main,1,0,0,0,0,"20,001-50,000",1,1,0,1,0,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,,,,,,,,,,1,1,1,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,0,0,1,Not at all familiar,Strongly agree,Strongly disagree,,,,0,0,0,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,Townhouse,,Own outright,,65,65+,"$1000-2000 a week / $52,000-$104,000 a year"
14,27/11/2024,27/11/2024,Male,PURPLE,METROPOLITAN,Main,0,0,0,1,0,"Less than 10,000",0,0,0,1,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,0 - Weekdays,5,5,,,,,,,,,,2,2,2,Somewhat disagree,Somewhat disagree,Somewhat agree,0,0,1,Not at all familiar,Neither agree nor disagree,Somewhat disagree,Nothing,,,0,0,0,0,1,1,0,0,0,0,0,0,,0,1,1,0,0,1,0,0,0,0,0,0,,0,Fairly uninterested,Fairly uninterested,Fairly uninterested,Fairly uninterested,Fairly uninterested,Fairly uninterested,Fairly uninterested,Fairly uninterested,Fairly uninterested,1,1,1,0,0,0,0,0,1,0,3,1,2,"Discharge to my home only, to reduce my energy bills",2,2,Freestanding house,,Own outright,,57,55-64 years,Prefer not to say
17,27/11/2024,27/11/2024,Male,PURPLE,INTERSTATE,EV,1,1,0,1,0,"20,001-50,000",1,1,0,1,0,At home,,0,1,1,1,1,0,Wherever the DC chargers are located! Would prefer places with 24x7 toilets though.,1,0,0,0,0,0,0,0,1,0,0,0,5,5,5,4,4,4,,,,2,2,5,2,2,2,1,1,2,,,,1,1,2,Strongly agree,Strongly agree,Somewhat agree,1,1,0,Very familiar,Somewhat agree,Somewhat agree,"With my current NMC Tesla, I see V2G as most useful during emergencies and arbitrage during periods of peak grid distress.",As soon as possible,,0,0,0,1,0,0,0,1,0,1,0,0,,0,1,0,0,0,1,0,1,0,0,0,0,,0,Fairly interested,Neither interested nor uninterested,Neither interested nor uninterested,Not at all interested,Fairly uninterested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,0,0,0,0,0,0,0,0,0,1,2,1,3,Discharge to my home AND discharge to the grid during high demand events (3-4 times a year) to get a small financial benefit,5,3,Freestanding house,,Own with mortgage,,51,45-54 years,Prefer not to say
18,27/11/2024,27/11/2024,Female,LILAC,REGIONAL,EV,1,1,0,0,0,"20,001-50,000",1,1,0,0,0,At home,,0,0,0,0,1,0,Tesla supercharge,1,0,0,0,0,0,0,0,1,0,0,0,5,5,5,5,5,5,,,,,,,2,2,2,1,2,2,,,,,,,Strongly agree,Strongly agree,Somewhat agree,1,0,0,Very familiar,Strongly agree,Strongly agree,,As soon as possible,,0,0,0,0,1,0,1,0,0,0,0,0,,0,1,0,0,0,1,0,0,1,0,0,0,,0,Very interested,Very interested,Very interested,Fairly uninterested,Fairly interested,Very interested,Fairly interested,Very interested,Fairly interested,0,0,1,0,0,0,0,0,0,0,2,1,3,Discharge to my home AND discharge to the grid most nights for the maximum financial benefit,5,2,Freestanding house,,Own outright,,70,65+,"$500-1000 a week / $26,000-$52,000 a year"
19,28/11/2024,28/11/2024,Male,LILAC,RURAL,Main,1,0,0,0,0,"10,000-20,000",0,1,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,,,,,,,,,,0 - Weekend days,0 - Weekend days,2,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,0,0,1,Not at all familiar,Somewhat disagree,Strongly disagree,88 not interested,,,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,Freestanding house,,Own outright,,88,65+,"Less than $500 a week / Less than $26,000 a year"
20,28/11/2024,28/11/2024,Male,GREY,METROPOLITAN,Main,1,0,0,0,0,"10,000-20,000",0,1,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,,,,,,,,,,1,2,2,,,,,,,,,,Strongly agree,Somewhat agree,Somewhat agree,0,0,1,Somewhat familiar,Somewhat agree,Neither agree nor disagree,not yet feasible in Strata living,Other (please specify),We live in a Strata unit,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,1,0,0,0,In a Strata unit it is not permitted/practical to install solar,0,Fairly interested,Very interested,Neither interested nor uninterested,Fairly interested,Fairly uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,0,0,0,0,0,0,0,1,0,0,1,2,3,None of these,2,2,Apartment/unit,,Own outright,,86,65+,"$2000-3000 a week / $104,000-$156,000 a year"
21,28/11/2024,28/11/2024,Female,KHAKI,RURAL,Main,1,0,0,0,0,"Less than 10,000",1,1,0,1,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,3,5,5,,,,,,,,,,2,2,2,,,,,,,,,,Strongly agree,Somewhat agree,Neither agree nor disagree,1,0,0,Not at all familiar,Neither agree nor disagree,Somewhat disagree,No,,,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,0,0,1,0,0,0,0,0,0,,0,Fairly uninterested,Fairly uninterested,Fairly uninterested,Fairly uninterested,Fairly uninterested,Fairly uninterested,Fairly uninterested,Fairly uninterested,Fairly uninterested,0,0,0,0,0,0,0,0,0,1,1,3,2,None of these,10,2,Freestanding house,,Own outright,,70,65+,Prefer not to say
22,28/11/2024,28/11/2024,Male,GREY,INTERSTATE,EV,1,1,0,0,0,"20,001-50,000",0,0,1,0,0,At home,,0,1,1,1,0,,,0,0,0,0,0,0,0,0,1,0,0,0,3,5,5,3,5,5,,,,,,,2,2,2,1,1,2,,,,,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,0,0,1,Very familiar,Strongly agree,Strongly agree,,As soon as possible,,0,0,0,0,1,1,0,1,0,0,0,0,,0,1,0,0,0,0,0,0,1,0,0,0,,0,Very interested,Very interested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,1,1,0,0,1,1,0,1,0,0,3,1,2,Discharge to my home AND discharge to the grid most nights for the maximum financial benefit,1,2,Apartment/unit,,Own outright,,67,65+,"$3000-4000 a week / $156,000-$208,000 a year"
