,Feature,Accuracy,Coefficient,Odds Ratio,P-value,abs_coef
1,Owns Electric Vehicle,0.7650957290132547,2.353839962795303,10.525911327914963,4.333242808498751e-75,2.353839962795303
5,How Familiar Are You with V2G?,0.7025036818851251,1.1996182452219872,3.318849694138408,1.70703057241486e-54,1.1996182452219872
9,Owns Neither Solar nor Battery,0.6435935198821797,-1.19156190980708,0.30374646878106687,6.820195663152983e-25,1.19156190980708
7,Owns Solar Panels,0.6428571428571429,1.1790848697875775,3.251397389027977,1.2096395891974928e-24,1.1790848697875775
8,Owns Home Battery,0.5758468335787923,1.068973567479635,2.9123885948927293,1.6466098125144468e-14,1.068973567479635
0,Owns Petrol/Diesel Car,0.6134020618556701,-1.067155635723977,0.3439855474479657,8.654323740712876e-20,1.067155635723977
3,Owns Hybrid,0.5522827687776142,-0.852261927995815,0.4264492427198046,1.938246634780936e-05,0.852261927995815
18,Carport,0.5419734904270986,-0.47363768780096616,0.6227328354025179,0.00502280401174404,0.47363768780096616
13,EV at home (10am-3pm),0.7253313696612665,0.45582136623999436,1.5774685304615659,1.4961151208404278e-53,0.45582136623999436
14,EV at home (4pm-9pm),0.7511045655375552,0.4252407047490533,1.5299586436563521,1.6004273778810455e-67,0.4252407047490533
16,Personal driveway,0.5544918998527246,0.39900532140775086,1.4903415493013732,0.0001547863708530178,0.39900532140775086
15,EV at home (9pm-6am),0.7511045655375552,0.3913563476154091,1.4789854524600436,1.0232602915330652e-71,0.3913563476154091
6,How Many Kilometres Do You Drive Per Year?,0.5787923416789397,0.3015773107651182,1.3519896344508913,9.481561712318907e-06,0.3015773107651182
17,Personal garage,0.5397643593519882,0.2699591702585605,1.309910966315314,0.016976248249259605,0.2699591702585605
2,Owns Plug-in Hybrid,0.5235640648011782,0.21911109587798897,1.2449695799934843,0.3389728804582567,0.21911109587798897
19,Street parking,0.5235640648011782,0.17857450733418836,1.1955119543639228,0.11837516238179814,0.17857450733418836
12,Petrol at home (9pm-6am),0.6045655375552282,-0.17166062763617004,0.842264966123166,5.756922668175656e-18,0.17166062763617004
11,Petrol at home (4pm-9pm),0.5957290132547864,-0.1640498414158378,0.848699720430346,4.234724575662058e-15,0.1640498414158378
10,Petrol at home (10am-3pm),0.5670103092783505,-0.1321698879463045,0.87619212795318,7.478206906171407e-09,0.1321698879463045
4,Does Not Own a Car,0.5235640648011782,0.0,1.0,0.624494896236172,0.0
