,Feature,Accuracy,Coefficient,Odds Ratio,P-value,abs_coef
34,Q14 - None of these,0.7010309278350515,-4.1182699677675485,0.016272642299569543,1.155364420575154e-24,4.1182699677675485
6,Owns Electric Vehicle,0.7650957290132547,2.3538409195095817,10.525921398209448,4.333242808498751e-75,2.3538409195095817
27,Saving on my energy bill by using my car battery to power my home,0.6693667157584683,1.4270232022269496,4.166278545522701,3.1445310390889293e-35,1.4270232022269496
36,Safety concerns,0.6023564064801178,-1.288867651944403,0.275582661970144,2.8256419912983473e-16,1.288867651944403
45,Q15 - None of these,0.5913107511045655,-1.2672484669269284,0.28160540332824285,6.529814233704064e-14,1.2672484669269284
0,How Familiar Are You with V2G?,0.7025036818851251,1.1996532469471812,3.318965861636382,1.70703057241486e-54,1.1996532469471812
4,Owns Neither Solar nor Battery,0.6435935198821797,-1.1915208560935282,0.30375893895756034,6.820195663152983e-25,1.1915208560935282
26,Earning money from my car battery by selling electricity to the grid,0.5868924889543446,1.1809226151137526,3.2573781232331354,3.031614733617838e-17,1.1809226151137526
2,Owns Solar Panels,0.6428571428571429,1.179127397975992,3.251535668009104,1.2096395891974928e-24,1.179127397975992
41,Impact on my EV warranty,0.5559646539027983,1.144140373829304,3.1397411927410874,2.5352406093147185e-12,1.144140373829304
3,Owns Home Battery,0.5758468335787923,1.069015029174039,2.912509349961974,1.6466098125144468e-14,1.069015029174039
5,Owns Petrol/Diesel Car,0.6134020618556701,-1.0671554550641345,0.3439856095923462,8.654323740712876e-20,1.0671554550641345
30,Supporting the grid during high demand,0.5640648011782032,1.0581113601199932,2.880924818455683,8.563457317884411e-13,1.0581113601199932
28,Helping the environment,0.6200294550810015,1.0447406914062904,2.842661301567387,3.408435901058844e-20,1.0447406914062904
29,Using more of my solar power,0.5957290132547864,0.9885298945202962,2.6872809805413063,3.3024581523493703e-16,0.9885298945202962
39,Impact on my EV battery life and range,0.593519882179676,0.8594062064087483,2.36175788056272,4.899481709134622e-14,0.8594062064087483
8,Owns Hybrid,0.5522827687776142,-0.8522619289432591,0.4264492423157678,1.938246634780936e-05,0.8522619289432591
44,I don’t want to lose control of how I charge my EV,0.5235640648011782,0.6623227938298425,1.9392916816033954,2.613740224663343e-05,0.6623227938298425
33,Avoiding buying a home battery,0.5235640648011782,0.6307090954990626,1.8789424566334083,0.0002692506633397354,0.6307090954990626
31,Being more independent from the grid,0.5375552282768777,0.5109232986586029,1.666829466104933,3.225459076624298e-05,0.5109232986586029
24,Carport,0.5419734904270986,-0.473637910893397,0.6227326964755513,0.00502280401174404,0.473637910893397
42,Whether it is actually possible at my home,0.5272459499263623,0.4124243778172933,1.5104753125485157,0.0007602365454075711,0.4124243778172933
22,Personal driveway,0.5544918998527246,0.39900578667790676,1.4903422427129795,0.0001547863708530178,0.39900578667790676
37,Complicated to set up,0.5235640648011782,0.32680813314056684,1.3865354214606722,0.02666793178728491,0.32680813314056684
1,How Many Kilometres Do You Drive Per Year?,0.5787923416789397,0.30156879019300376,1.35197811477479,9.481561712318907e-06,0.30156879019300376
23,Personal garage,0.5397643593519882,0.2699782886301152,1.3099360099192672,0.016976248249259605,0.2699782886301152
20,Plug-in Hybrid at home (4pm-9pm),0.6363636363636364,0.2476578448073939,1.2810215490259198,0.027706617875121742,0.2476578448073939
7,Owns Plug-in Hybrid,0.5235640648011782,0.2192864946733602,1.2451879653097897,0.3389728804582567,0.2192864946733602
32,Protecting me against blackout,0.5235640648011782,0.20457759787708155,1.2270066652640763,0.10264946528461846,0.20457759787708155
25,Street parking,0.5235640648011782,0.17853038309234498,1.1954592044691048,0.11837516238179814,0.17853038309234498
17,Hybrid at home (4pm-9pm),0.6756756756756757,-0.16893902385547574,0.8445603998529913,0.3195774430202687,0.16893902385547574
38,Complicated to use,0.5235640648011782,0.1518059055542682,1.1639343013233632,0.3760385274088558,0.1518059055542682
19,Plug-in Hybrid at home (10am-3pm),0.5454545454545454,0.14874710740272507,1.1603795007143556,0.5443418721803687,0.14874710740272507
16,Hybrid at home (10am-3pm),0.6756756756756757,-0.12909298855241066,0.8788922348289898,0.44901684467897873,0.12909298855241066
10,Petrol at home (10am-3pm),0.5697940503432495,0.11444773960824818,1.1212540423572734,0.002648903640258079,0.11444773960824818
18,Hybrid at home (9pm-6am),0.6756756756756757,-0.10401593272844491,0.9012109385576615,0.6875446599202646,0.10401593272844491
43,Would require my car to be plugged in for the majority of the time,0.5235640648011782,-0.10072700782770255,0.9041798332138691,0.4575737663247752,0.10072700782770255
21,Plug-in Hybrid at home (9pm-6am),0.6060606060606061,0.0975578245020894,1.1024751897991194,0.335172986233478,0.0975578245020894
40,Not having enough battery when I need to drive,0.5235640648011782,0.0858594144945457,1.089653128100733,0.41323395204204005,0.0858594144945457
14,EV at home (4pm-9pm),0.7552083333333334,0.07720263693196701,1.0802609549810496,0.30149712494214154,0.07720263693196701
11,Petrol at home (4pm-9pm),0.5697940503432495,0.06190333362605698,1.063859500317035,0.14894882602571383,0.06190333362605698
15,EV at home (9pm-6am),0.7552083333333334,0.050351067819663586,1.0516402286191386,0.7907341697903716,0.050351067819663586
35,High cost of car and charger,0.5235640648011782,-0.04733491372787045,0.9537679141260152,0.5636215408203099,0.04733491372787045
13,EV at home (10am-3pm),0.7552083333333334,0.02786757289456071,1.0282595059747486,0.6457641249868785,0.02786757289456071
12,Petrol at home (9pm-6am),0.5697940503432495,-0.008102191673893219,0.9919305426149146,0.930365552831964,0.008102191673893219
9,Does Not Own a Car,0.5235640648011782,0.0,1.0,0.624494896236172,0.0
