,Feature,Accuracy,Coefficient,Odds Ratio,P-value,abs_coef
34,Q14 - None of these,0.7010309278350515,-4.118325266278601,0.016271742471559283,1.155364420575154e-24,4.118325266278601
6,Owns Electric Vehicle,0.7650957290132547,2.3537575326032543,10.525043710782132,4.333242808498751e-75,2.3537575326032543
27,Saving on my energy bill by using my car battery to power my home,0.6693667157584683,1.4270335244776982,4.166321551116494,3.1445310390889293e-35,1.4270335244776982
36,Safety concerns,0.6023564064801178,-1.2888604115513391,0.27558465730416176,2.8256419912983473e-16,1.2888604115513391
45,Q15 - None of these,0.5913107511045655,-1.2672492200065784,0.2816051912570241,6.529814233704064e-14,1.2672492200065784
0,How Familiar Are You with V2G?,0.7025036818851251,1.1996365238815487,3.318910358816536,1.70703057241486e-54,1.1996365238815487
4,Owns Neither Solar nor Battery,0.6435935198821797,-1.1915573353963278,0.3037478582453576,6.820195663152983e-25,1.1915573353963278
26,Earning money from my car battery by selling electricity to the grid,0.5868924889543446,1.1809882970686796,3.257592081222718,3.031614733617838e-17,1.1809882970686796
2,Owns Solar Panels,0.6428571428571429,1.1791125354964345,3.2514873424858273,1.2096395891974928e-24,1.1791125354964345
41,Impact on my EV warranty,0.5559646539027983,1.1440868770470463,3.1395732311828954,2.5352406093147185e-12,1.1440868770470463
3,Owns Home Battery,0.5758468335787923,1.0689558178208765,2.9123369014477696,1.6466098125144468e-14,1.0689558178208765
5,Owns Petrol/Diesel Car,0.6134020618556701,-1.0671823463145682,0.3439763595135467,8.654323740712876e-20,1.0671823463145682
30,Supporting the grid during high demand,0.5640648011782032,1.0581084022415421,2.880916297042846,8.563457317884411e-13,1.0581084022415421
28,Helping the environment,0.6200294550810015,1.0447185876284906,2.8425984687080414,3.408435901058844e-20,1.0447185876284906
29,Using more of my solar power,0.5957290132547864,0.988528170690044,2.6872763481290485,3.3024581523493703e-16,0.988528170690044
39,Impact on my EV battery life and range,0.593519882179676,0.8594498318278391,2.361860915487505,4.899481709134622e-14,0.8594498318278391
8,Owns Hybrid,0.5522827687776142,-0.8522618817465816,0.42644926244275566,1.938246634780936e-05,0.8522618817465816
44,I don’t want to lose control of how I charge my EV,0.5235640648011782,0.6623688385351353,1.9393809777731437,2.613740224663343e-05,0.6623688385351353
33,Avoiding buying a home battery,0.5235640648011782,0.6307351662305508,1.878991442676225,0.0002692506633397354,0.6307351662305508
31,Being more independent from the grid,0.5375552282768777,0.5109152318315676,1.666816020134166,3.225459076624298e-05,0.5109152318315676
24,Carport,0.5419734904270986,-0.47368309084768456,0.6227045620763514,0.00502280401174404,0.47368309084768456
13,EV at home (10am-3pm),0.7253313696612665,0.4558278131499678,1.5774787002919497,1.4961151208404278e-53,0.4558278131499678
14,EV at home (4pm-9pm),0.7511045655375552,0.42523474962029056,1.5299495325827563,1.6004273778810455e-67,0.42523474962029056
42,Whether it is actually possible at my home,0.5272459499263623,0.41242657352568507,1.5104786291154761,0.0007602365454075711,0.41242657352568507
22,Personal driveway,0.5544918998527246,0.39900539566216175,1.490341659965811,0.0001547863708530178,0.39900539566216175
15,EV at home (9pm-6am),0.7511045655375552,0.39135634905736566,1.4789854545926764,1.0232602915330652e-71,0.39135634905736566
46,I check my energy bill regularly,0.5920471281296024,0.3557735940026023,1.4272843659395764,2.5623922231974903e-11,0.3557735940026023
37,Complicated to set up,0.5235640648011782,0.3268233642310591,1.3865565400679765,0.02666793178728491,0.3268233642310591
1,How Many Kilometres Do You Drive Per Year?,0.5787923416789397,0.30157421935400525,1.351985454901571,9.481561712318907e-06,0.30157421935400525
47,I try to minimise my energy usage to reduce my bill,0.5478645066273933,0.28505342693610985,1.3298330751302867,3.689228915405169e-07,0.28505342693610985
23,Personal garage,0.5397643593519882,0.26997843367327246,1.3099361999165355,0.016976248249259605,0.26997843367327246
48,I regularly compare my current plan against alternatives in the market,0.5434462444771723,0.22309222542005328,1.2499358442787434,1.160090184764587e-07,0.22309222542005328
7,Owns Plug-in Hybrid,0.5235640648011782,0.21933769369034575,1.245251719341634,0.3389728804582567,0.21933769369034575
16,Hybrid at home (10am-3pm),0.5522827687776142,-0.212199836751298,0.8088030528412397,3.3222033832938006e-05,0.212199836751298
32,Protecting me against blackout,0.5235640648011782,0.20459199751688995,1.2270243338453088,0.10264946528461846,0.20459199751688995
17,Hybrid at home (4pm-9pm),0.5522827687776142,-0.1849472492704748,0.8311481263657625,1.7816143661570043e-05,0.1849472492704748
25,Street parking,0.5235640648011782,0.1785482144586858,1.195480521330179,0.11837516238179814,0.1785482144586858
12,Petrol at home (9pm-6am),0.6045655375552282,-0.17167466656735292,0.8422531417062701,5.756922668175656e-18,0.17167466656735292
11,Petrol at home (4pm-9pm),0.5957290132547864,-0.16404720123936864,0.8487019611503352,4.234724575662058e-15,0.16404720123936864
18,Hybrid at home (9pm-6am),0.5522827687776142,-0.15985743098808763,0.8522652869249276,2.9309642729744115e-05,0.15985743098808763
38,Complicated to use,0.5235640648011782,0.15182714636581593,1.1639590244950808,0.3760385274088558,0.15182714636581593
